year,week,id,x,y,inc,inf
5,1,123,1,18,1,0
5,1,265,12,18,1,0
5,1,269,6,20,1,0
5,1,317,4,17,1,0
5,1,350,9,8,1,0
5,1,369,3,18,1,0
5,1,376,11,10,1,1
5,1,552,1,20,1,0
5,1,558,7,13,1,0
5,1,671,4,19,1,0
5,1,728,5,16,1,0
5,1,772,1,20,1,0
5,1,791,1,20,1,0
5,1,799,2,20,1,0
5,1,869,4,17,1,0
5,1,1037,1,20,1,0
5,1,1090,5,16,1,0
5,1,1164,4,17,1,0
5,1,1243,1,20,1,0
5,1,1317,1,20,1,0
5,1,1322,1,20,1,0
5,1,1378,1,20,1,0
5,1,1381,1,20,1,0
5,1,1382,1,20,1,0
5,1,1467,1,16,1,0
5,1,1474,2,18,1,0
5,1,1534,5,16,1,0
5,1,1538,2,20,1,1
5,1,1562,15,17,1,0
5,1,1603,1,20,1,1
5,2,80,2,19,1,0
5,2,123,2,17,1,0
5,2,265,11,19,1,0
5,2,269,5,20,1,0
5,2,317,5,16,1,0
5,2,350,10,7,1,1
5,2,369,4,17,1,0
5,2,376,12,10,1,1
5,2,552,1,20,1,0
5,2,558,8,12,1,0
5,2,671,5,18,1,0
5,2,728,5,16,1,1
5,2,772,1,20,1,1
5,2,791,1,20,1,0
5,2,799,3,19,1,0
5,2,869,5,16,1,1
5,2,1037,1,20,1,0
5,2,1090,4,17,1,1
5,2,1164,5,16,1,1
5,2,1234,1,20,1,0
5,2,1243,1,20,1,0
5,2,1317,1,20,1,0
5,2,1322,1,20,1,0
5,2,1361,1,20,1,0
5,2,1363,1,20,1,0
5,2,1378,1,20,1,0
5,2,1381,1,20,1,0
5,2,1382,1,20,1,0
5,2,1467,1,15,1,0
5,2,1474,1,19,1,0
5,2,1534,4,17,1,0
5,2,1538,3,19,1,1
5,2,1562,16,16,1,1
5,2,1603,1,20,1,1
5,3,80,3,18,1,0
5,3,123,1,18,1,0
5,3,265,12,18,1,1
5,3,269,6,20,1,1
5,3,317,4,17,1,0
5,3,350,9,8,1,1
5,3,369,5,16,1,0
5,3,552,1,20,1,1
5,3,558,7,13,1,0
5,3,671,4,19,1,1
5,3,728,4,17,1,1
5,3,772,1,20,1,1
5,3,791,1,20,1,1
5,3,799,2,20,1,1
5,3,820,1,20,1,0
5,3,869,4,17,1,1
5,3,1037,1,20,1,1
5,3,1046,4,17,1,0
5,3,1090,4,17,1,1
5,3,1164,4,17,1,1
5,3,1234,1,20,1,0
5,3,1243,1,20,1,0
5,3,1317,1,20,1,0
5,3,1322,1,20,1,1
5,3,1361,1,20,1,0
5,3,1363,1,20,1,0
5,3,1378,1,20,1,1
5,3,1381,1,20,1,0
5,3,1382,1,20,1,1
5,3,1442,1,20,1,0
5,3,1457,1,20,1,0
5,3,1467,1,16,1,0
5,3,1474,2,18,1,0
5,3,1534,5,16,1,0
5,3,1562,15,17,1,1
5,3,1609,1,20,1,0
5,4,80,4,17,1,0
5,4,123,2,17,1,0
5,4,265,11,19,1,1
5,4,269,5,20,1,1
5,4,317,5,16,1,1
5,4,369,4,17,1,1
5,4,531,1,20,1,0
5,4,552,1,20,1,1
5,4,558,8,12,1,0
5,4,671,5,18,1,1
5,4,799,1,20,1,1
5,4,806,1,20,1,0
5,4,820,1,20,1,0
5,4,1037,1,20,1,1
5,4,1046,5,16,1,0
5,4,1234,1,20,1,0
5,4,1243,1,20,1,0
5,4,1317,1,20,1,1
5,4,1322,1,20,1,1
5,4,1334,1,20,1,0
5,4,1361,1,20,1,0
5,4,1363,1,20,1,0
5,4,1378,1,20,1,1
5,4,1381,1,20,1,0
5,4,1382,1,20,1,1
5,4,1442,1,20,1,0
5,4,1457,1,20,1,1
5,4,1467,1,15,1,0
5,4,1474,1,19,1,0
5,4,1534,4,17,1,0
5,4,1609,1,20,1,0
5,5,80,4,17,1,0
5,5,123,1,18,1,1
5,5,317,4,17,1,1
5,5,369,5,16,1,1
5,5,531,1,20,1,0
5,5,558,7,13,1,1
5,5,790,1,20,1,0
5,5,806,1,20,1,0
5,5,820,1,20,1,0
5,5,1046,4,17,1,0
5,5,1231,5,16,1,0
5,5,1234,1,20,1,0
5,5,1243,1,20,1,0
5,5,1317,1,20,1,1
5,5,1334,1,20,1,0
5,5,1361,1,20,1,0
5,5,1363,1,20,1,0
5,5,1381,1,20,1,0
5,5,1442,1,20,1,0
5,5,1467,1,16,1,0
5,5,1474,2,18,1,1
5,5,1513,1,20,1,0
5,5,1534,5,16,1,0
5,5,1609,1,20,1,0
5,6,80,4,17,1,0
5,6,123,2,17,1,1
5,6,531,1,20,1,1
5,6,558,8,12,1,1
5,6,790,2,19,1,0
5,6,806,1,20,1,0
5,6,820,1,20,1,1
5,6,1046,5,16,1,1
5,6,1205,8,12,1,0
5,6,1231,4,17,1,0
5,6,1234,1,20,1,1
5,6,1243,1,20,1,1
5,6,1334,1,20,1,0
5,6,1361,1,20,1,0
5,6,1363,1,20,1,0
5,6,1381,1,20,1,1
5,6,1442,1,20,1,0
5,6,1467,1,15,1,1
5,6,1474,1,19,1,1
5,6,1513,1,20,1,0
5,6,1534,4,17,1,0
5,6,1609,1,20,1,0
5,7,80,4,17,1,1
5,7,531,1,20,1,1
5,7,790,1,20,1,0
5,7,806,1,20,1,0
5,7,820,1,20,1,1
5,7,1046,4,17,1,1
5,7,1205,7,13,1,0
5,7,1231,5,16,1,0
5,7,1234,1,20,1,1
5,7,1243,1,20,1,1
5,7,1334,1,20,1,0
5,7,1361,1,20,1,0
5,7,1363,1,20,1,0
5,7,1381,1,20,1,1
5,7,1442,1,20,1,0
5,7,1467,1,16,1,1
5,7,1513,1,20,1,0
5,7,1534,5,16,1,1
5,7,1609,1,20,1,0
5,8,80,4,17,1,1
5,8,790,2,19,1,0
5,8,806,1,20,1,0
5,8,1205,8,12,1,0
5,8,1231,4,17,1,0
5,8,1334,1,20,1,1
5,8,1361,1,20,1,0
5,8,1363,1,20,1,1
5,8,1513,1,20,1,0
5,8,1534,4,17,1,1
5,8,1609,1,20,1,0
5,9,790,1,20,1,0
5,9,806,1,20,1,0
5,9,1205,7,13,1,1
5,9,1231,3,18,1,0
5,9,1361,1,20,1,0
5,9,1363,1,20,1,1
5,9,1513,1,20,1,0
5,9,1609,1,20,1,0
5,10,790,2,19,1,0
5,10,806,1,19,1,1
5,10,1205,8,12,1,1
5,10,1231,4,17,1,0
5,10,1361,1,20,1,1
5,10,1513,2,19,1,1
5,10,1609,1,20,1,1
5,11,179,1,20,1,0
5,11,790,1,20,1,0
5,11,806,2,18,1,1
5,11,1073,1,20,1,0
5,11,1077,1,20,1,0
5,11,1231,5,16,1,1
5,11,1361,1,20,1,1
5,11,1513,1,20,1,1
5,11,1592,1,20,1,0
5,11,1609,1,20,1,1
5,12,179,1,20,1,0
5,12,790,1,20,1,0
5,12,1063,4,17,1,0
5,12,1073,1,20,1,0
5,12,1077,1,20,1,0
5,12,1231,4,17,1,1
5,12,1592,1,20,1,0
5,13,179,1,20,1,0
5,13,790,1,20,1,1
5,13,1063,5,16,1,0
5,13,1073,1,20,1,1
5,13,1077,1,20,1,0
5,13,1592,1,20,1,0
5,14,179,1,20,1,1
5,14,790,1,20,1,1
5,14,1063,4,17,1,0
5,14,1073,2,19,1,1
5,14,1077,1,20,1,0
5,14,1088,1,20,1,0
5,14,1536,1,20,1,0
5,14,1592,1,20,1,0
5,15,179,1,20,1,1
5,15,733,1,20,1,0
5,15,1063,5,16,1,1
5,15,1077,1,20,1,0
5,15,1088,1,20,1,0
5,15,1536,2,19,1,0
5,15,1592,1,20,1,1
5,16,603,1,20,1,0
5,16,733,1,20,1,0
5,16,1063,4,17,1,1
5,16,1077,1,20,1,1
5,16,1088,1,20,1,0
5,16,1233,1,20,1,0
5,16,1536,3,18,1,0
5,16,1592,1,20,1,1
5,17,603,1,20,1,0
5,17,733,2,19,1,0
5,17,1077,2,19,1,1
5,17,1088,2,19,1,0
5,17,1233,2,20,1,0
5,17,1443,2,19,1,0
5,17,1536,2,19,1,1
5,18,603,1,20,1,1
5,18,733,1,20,1,0
5,18,1088,1,20,1,0
5,18,1195,1,20,1,0
5,18,1233,1,20,1,0
5,18,1443,3,18,1,0
5,18,1536,1,20,1,1
5,19,603,1,20,1,1
5,19,1088,2,19,1,1
5,19,1195,2,19,1,0
5,19,1233,2,20,1,1
5,19,1443,4,17,1,0
5,19,1887,1,20,1,0
5,20,1195,1,20,1,0
5,20,1233,1,20,1,1
5,20,1401,1,20,1,0
5,20,1443,5,16,1,0
5,20,1887,1,20,1,0
5,21,1195,2,19,1,0
5,21,1401,2,19,1,1
5,21,1443,5,16,1,1
5,21,1887,2,19,1,1
5,22,59,1,20,1,0
5,22,285,1,20,1,0
5,22,336,1,20,1,0
5,22,681,1,20,1,0
5,22,1195,3,18,1,1
5,22,1401,1,20,1,1
5,22,1432,1,20,1,0
5,22,1443,4,17,1,1
5,22,1504,4,17,1,0
5,22,1585,1,20,1,0
5,22,1697,4,17,1,0
5,22,1715,1,20,1,0
5,22,1738,1,20,1,0
5,22,1830,1,20,1,0
5,22,1831,1,20,1,0
5,22,1887,1,20,1,1
5,22,1908,1,20,1,0
5,23,59,1,20,1,0
5,23,285,1,20,1,0
5,23,336,1,20,1,0
5,23,681,1,20,1,0
5,23,1432,1,20,1,0
5,23,1504,4,17,1,0
5,23,1585,1,20,1,0
5,23,1697,5,16,1,0
5,23,1715,1,20,1,0
5,23,1738,1,20,1,0
5,23,1830,1,20,1,0
5,23,1831,1,20,1,0
5,23,1908,1,20,1,0
5,24,59,1,20,1,1
5,24,285,1,20,1,0
5,24,336,1,20,1,0
5,24,681,1,20,1,0
5,24,1432,1,20,1,0
5,24,1504,5,16,1,1
5,24,1585,1,20,1,1
5,24,1697,4,17,1,1
5,24,1715,1,20,1,0
5,24,1738,1,20,1,1
5,24,1830,1,20,1,0
5,24,1831,1,20,1,1
5,24,1908,1,20,1,0
5,25,59,1,20,1,1
5,25,285,1,20,1,0
5,25,331,5,16,1,0
5,25,336,1,20,1,0
5,25,681,1,20,1,0
5,25,1170,5,16,1,0
5,25,1432,1,20,1,1
5,25,1504,4,17,1,1
5,25,1539,5,16,1,0
5,25,1585,1,20,1,1
5,25,1697,5,16,1,1
5,25,1715,1,20,1,0
5,25,1738,1,20,1,1
5,25,1788,1,20,1,0
5,25,1831,1,20,1,1
5,25,1908,1,20,1,0
5,26,285,1,20,1,0
5,26,331,4,17,1,0
5,26,336,1,20,1,0
5,26,425,1,20,1,0
5,26,601,1,20,1,0
5,26,681,1,20,1,1
5,26,1413,1,20,1,0
5,26,1432,1,20,1,1
5,26,1539,4,17,1,0
5,26,1551,1,20,1,0
5,26,1635,1,20,1,0
5,26,1715,2,19,1,1
5,26,1788,1,20,1,0
5,26,1908,1,20,1,1
5,27,285,1,20,1,0
5,27,331,5,16,1,0
5,27,336,1,20,1,0
5,27,425,1,20,1,0
5,27,601,1,20,1,0
5,27,681,1,20,1,1
5,27,829,1,20,1,0
5,27,1413,1,20,1,0
5,27,1539,5,16,1,1
5,27,1551,1,20,1,0
5,27,1635,1,20,1,0
5,27,1668,1,20,1,0
5,27,1712,1,20,1,0
5,27,1715,3,18,1,1
5,27,1908,1,20,1,1
5,28,285,1,20,1,0
5,28,331,4,17,1,1
5,28,336,1,20,1,1
5,28,425,1,20,1,0
5,28,601,1,20,1,0
5,28,829,1,20,1,0
5,28,1413,2,19,1,0
5,28,1539,4,17,1,1
5,28,1551,1,20,1,0
5,28,1635,1,20,1,1
5,28,1668,2,19,1,0
5,28,1689,4,17,1,0
5,28,1712,1,20,1,0
5,29,285,2,19,1,0
5,29,331,5,16,1,1
5,29,336,1,20,1,1
5,29,425,1,20,1,0
5,29,601,1,20,1,0
5,29,829,1,20,1,0
5,29,1413,1,20,1,1
5,29,1551,1,20,1,0
5,29,1635,1,20,1,1
5,29,1668,1,20,1,0
5,29,1689,5,16,1,0
5,29,1691,5,16,1,0
5,29,1712,2,19,1,0
5,30,285,3,18,1,1
5,30,425,1,20,1,1
5,30,601,1,20,1,0
5,30,829,1,20,1,0
5,30,1551,1,20,1,1
5,30,1668,2,19,1,0
5,30,1689,4,17,1,0
5,30,1691,4,17,1,0
5,30,1712,3,18,1,0
5,31,285,2,19,1,1
5,31,425,1,20,1,1
5,31,601,1,20,1,1
5,31,829,2,19,1,0
5,31,1551,2,19,1,1
5,31,1668,3,18,1,1
5,31,1689,5,16,1,0
5,31,1691,5,16,1,0
5,31,1712,2,19,1,1
5,32,601,1,20,1,1
5,32,829,3,18,1,1
5,32,1647,4,17,1,0
5,32,1668,4,17,1,1
5,32,1689,4,17,1,1
5,32,1691,4,17,1,0
5,32,1754,1,20,1,0
5,32,1808,4,17,1,0
5,33,97,5,16,1,0
5,33,353,4,17,1,0
5,33,829,4,17,1,1
5,33,1647,5,16,1,0
5,33,1689,5,16,1,1
5,33,1691,5,16,1,0
5,33,1754,1,20,1,1
5,33,1808,5,16,1,0
5,34,97,4,17,1,1
5,34,353,5,16,1,0
5,34,1647,4,17,1,0
5,34,1691,4,17,1,0
5,34,1754,1,20,1,1
5,34,1796,1,20,1,0
5,34,1808,4,17,1,0
5,35,97,5,16,1,1
5,35,353,4,17,1,1
5,35,564,5,16,1,0
5,35,1647,4,17,1,1
5,35,1691,5,16,1,1
5,35,1796,1,20,1,0
5,35,1808,5,16,1,0
5,36,353,5,16,1,1
5,36,564,4,17,1,0
5,36,1487,4,17,1,0
5,36,1647,4,17,1,1
5,36,1691,4,17,1,1
5,36,1796,1,20,1,1
5,36,1808,4,17,1,1
5,37,564,5,16,1,0
5,37,1487,4,17,1,0
5,37,1796,1,20,1,1
5,37,1808,5,16,1,1
5,38,564,4,17,1,0
5,38,1487,4,17,1,0
5,39,564,5,16,1,0
5,39,1487,4,17,1,1
5,40,1487,5,16,1,1
5,40,1623,5,16,1,0
5,41,1623,4,17,1,0
5,42,1623,5,16,1,0
5,43,1623,4,17,1,0
5,44,1623,5,16,1,1
5,45,1623,4,17,1,1
