rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero
1,4,1,0.0,0.0,1,propagule,5103,23,3,0.0
1,4,2,0.0,0.0,1,propagule,5049,26,10,0.0003961180431768667
1,4,3,0.0,0.0,1,propagule,5037,36,19,0.0005955926146515784
1,4,4,0.0,0.0,1,propagule,5000,43,21,0.001
1,4,5,0.0,0.0,1,propagule,5103,52,26,0.0019596315892612187
1,4,6,0.0,0.0,1,propagule,5034,50,21,0.001986491855383393
1,4,7,0.0,0.0,1,propagule,4994,59,24,0.002803364036844213
1,4,8,0.0,0.0,1,propagule,4930,61,19,0.002231237322515213
1,4,9,0.0,0.0,1,propagule,4920,71,30,0.002845528455284553
1,4,10,0.0,0.0,1,propagule,4864,77,34,0.002055921052631579
1,4,11,0.0,0.0,1,propagule,4841,96,33,0.0028919644701507954
1,4,12,0.0,0.0,1,propagule,4802,100,39,0.0020824656393169513
1,4,13,0.0,0.0,1,propagule,4788,105,43,0.0029239766081871343
1,4,14,0.0,0.0,1,propagule,4746,121,63,0.002107037505267594
1,4,15,0.0,0.0,1,propagule,4711,130,59,0.0031840373593716833
1,4,16,0.0,0.0,1,propagule,4663,155,64,0.002144542140253056
1,4,17,0.0,0.0,1,propagule,4621,158,57,0.003029647262497295
1,4,18,0.0,0.0,1,propagule,4573,173,67,0.0024054231357970696
1,4,19,0.0,0.0,1,propagule,4539,191,83,0.0030843798193434676
1,4,20,0.0,0.0,1,propagule,12838,220,102,0.0007789375292101573
1,4,21,0.0,0.0,1,propagule,12643,365,109,0.0010282369690737957
1,4,22,0.0,0.0,1,propagule,12310,449,126,0.0010560519902518277
1,4,23,0.0,0.0,1,propagule,12085,546,174,0.0011584609019445594
1,4,24,0.0,0.0,1,propagule,11772,696,249,0.0011043153244988107
1,4,25,0.0,0.0,1,propagule,11523,821,320,0.0011281784257571813
1,4,26,0.0,0.0,1,propagule,11171,968,355,0.0011637275087279563
1,4,27,0.0,0.0,1,propagule,10778,1063,398,0.001206160697717573
1,4,28,0.0,0.0,1,propagule,10448,1175,454,0.0012442572741194486
1,4,29,0.0,0.0,1,propagule,10009,1280,527,0.0012988310520531522
1,4,30,0.0,0.0,1,propagule,9586,1326,576,0.0013561443772167744
1,4,31,0.0,0.0,1,propagule,9156,1388,629,0.001419833988641328
1,4,32,0.0,0.0,1,propagule,8788,1414,653,0.0014792899408284023
1,4,33,0.0,0.0,1,propagule,8338,1432,680,0.0015591268889421923
1,4,34,0.0,0.0,1,propagule,7832,1370,658,0.0016598569969356485
1,4,35,0.0,0.0,1,propagule,7393,1345,641,0.001623157040443663
1,4,36,0.0,0.0,1,propagule,6934,1288,647,0.003461205653302567
1,4,37,0.0,0.0,1,propagule,6530,1185,582,0.002909647779479326
1,4,38,0.0,0.0,1,propagule,6104,1102,561,0.003112712975098296
1,4,39,0.0,0.0,1,propagule,5794,1011,526,0.003969623748705558
1,4,40,0.0,0.0,1,propagule,5461,946,495,0.003845449551364219
1,4,41,0.0,0.0,1,propagule,5137,864,448,0.0046719875413665565
1,4,42,0.0,0.0,1,propagule,4836,787,389,0.004755996691480562
1,4,43,0.0,0.0,1,propagule,4587,746,383,0.004578155657292348
1,4,44,0.0,0.0,1,propagule,4365,717,356,0.004810996563573883
1,4,45,0.0,0.0,1,propagule,4160,705,333,0.005048076923076923
1,4,46,0.0,0.0,1,propagule,3940,642,327,0.005583756345177665
1,4,47,0.0,0.0,1,propagule,3747,602,311,0.005604483586869495
1,4,48,0.0,0.0,1,propagule,3611,593,316,0.006092495153697037
1,4,49,0.0,0.0,1,propagule,3373,530,287,0.006225911651348948
1,4,50,0.0,0.0,1,propagule,3275,504,258,0.0061068702290076335
1,4,51,0.0,0.0,1,propagule,3141,471,233,0.006367398917542184
1,4,52,0.0,0.0,1,propagule,3026,428,219,0.006278916060806345
1,5,1,0.0,0.0,1,propagule,2941,412,228,0.006460387623257395
1,5,2,0.0,0.0,1,propagule,2859,392,219,0.006995452955578874
1,5,3,0.0,0.0,1,propagule,2758,362,192,0.007251631617113851
1,5,4,0.0,0.0,1,propagule,2670,325,171,0.00749063670411985
1,5,5,0.0,0.0,1,propagule,2596,316,159,0.007704160246533128
1,5,6,0.0,0.0,1,propagule,2537,289,154,0.009065825778478517
1,5,7,0.0,0.0,1,propagule,2465,259,146,0.00973630831643002
1,5,8,0.0,0.0,1,propagule,2408,247,135,0.010382059800664452
1,5,9,0.0,0.0,1,propagule,2340,229,120,0.011538461538461539
1,5,10,0.0,0.0,1,propagule,2273,213,97,0.011438627364716234
1,5,11,0.0,0.0,1,propagule,2232,196,96,0.012096774193548387
1,5,12,0.0,0.0,1,propagule,2180,174,96,0.011926605504587157
1,5,13,0.0,0.0,1,propagule,2150,172,107,0.013023255813953489
1,5,14,0.0,0.0,1,propagule,2100,153,89,0.012380952380952381
1,5,15,0.0,0.0,1,propagule,2056,128,76,0.013618677042801557
1,5,16,0.0,0.0,1,propagule,2004,116,58,0.01347305389221557
1,5,17,0.0,0.0,1,propagule,1973,111,61,0.01419158641662443
1,5,18,0.0,0.0,1,propagule,1943,100,59,0.013896037056098817
1,5,19,0.0,0.0,1,propagule,1917,96,53,0.014606155451225874
1,5,20,0.0,0.0,1,propagule,5280,92,47,0.004924242424242424
1,5,21,0.0,0.0,1,propagule,5144,97,37,0.005248833592534992
1,5,22,0.0,0.0,1,propagule,5045,109,42,0.004757185332011893
1,5,23,0.0,0.0,1,propagule,4891,119,52,0.00531588632181558
1,5,24,0.0,0.0,1,propagule,4779,144,55,0.0052312199204854574
1,5,25,0.0,0.0,1,propagule,4656,172,61,0.005584192439862543
1,5,26,0.0,0.0,1,propagule,4554,201,58,0.005489679402722881
1,5,27,0.0,0.0,1,propagule,4467,228,71,0.005596597268860533
1,5,28,0.0,0.0,1,propagule,4394,262,94,0.005689576695493855
1,5,29,0.0,0.0,1,propagule,4241,287,109,0.005659042678613535
1,5,30,0.0,0.0,1,propagule,4117,320,136,0.006072382803011902
1,5,31,0.0,0.0,1,propagule,4005,344,147,0.006242197253433208
1,5,32,0.0,0.0,1,propagule,3882,369,158,0.00592478104070067
1,5,33,0.0,0.0,1,propagule,3743,374,178,0.0066791343841838095
1,5,34,0.0,0.0,1,propagule,3629,407,179,0.006337834114081014
1,5,35,0.0,0.0,1,propagule,3476,412,188,0.006904487917146145
1,5,36,0.0,0.0,1,propagule,3282,385,176,0.007312614259597806
1,5,37,0.0,0.0,1,propagule,3139,378,187,0.00796431984708506
1,5,38,0.0,0.0,1,propagule,3002,373,191,0.007661558960692871
1,5,39,0.0,0.0,1,propagule,2869,355,182,0.008365284071104914
1,5,40,0.0,0.0,1,propagule,2734,338,177,0.008046817849305048
1,5,41,0.0,0.0,1,propagule,2605,305,154,0.008829174664107486
1,5,42,0.0,0.0,1,propagule,2460,284,144,0.008130081300813009
1,5,43,0.0,0.0,1,propagule,2361,248,123,0.009741634900465904
1,5,44,0.0,0.0,1,propagule,2263,240,117,0.009279717189571365
1,5,45,0.0,0.0,1,propagule,2173,230,114,0.010124252185918085
1,5,46,0.0,0.0,1,propagule,2073,206,106,0.009165460684997588
1,5,47,0.0,0.0,1,propagule,1989,191,105,0.010558069381598794
1,5,48,0.0,0.0,1,propagule,1915,182,90,0.009921671018276762
1,5,49,0.0,0.0,1,propagule,1866,171,90,0.011254019292604502
1,5,50,0.0,0.0,1,propagule,1818,157,82,0.009900990099009901
1,5,51,0.0,0.0,1,propagule,1794,154,74,0.011148272017837236
1,5,52,0.0,0.0,1,propagule,1757,148,74,0.010244735344336939
